FirstName,Phone,Notes
John,+1234567890,Follow up required
Jane,+1987654321,Interested in product demo
Mike,+1122334455,Called twice - no answer
Sarah,+1555666777,Wants pricing information
David,+1444555666,Scheduled for next week
Emma,+1777888999,High priority lead
Alex,+1333222111,Budget concerns
Lisa,+1666555444,Technical questions
Tom,+1999888777,Ready to purchase
Amy,+1111222333,Needs manager approval
Chris,+1555444333,Competitor comparison
Kelly,+1888777666,Timeline flexible
Mark,+1222333444,Budget approved
Nina,+1777666555,Decision maker contact
Paul,+1444333222,Follow up in Q2
Rita,+1666777888,Feature request
Sam,+1333444555,Technical evaluation
Tina,+1888999777,Contract review needed
Will,+1555666888,Implementation concerns
Zoe,+1222444666,ROI calculation needed
